beta,Rate,Distortion
0.0,769.4844401041667,0.24839911142985027
1e-06,718.0962239583333,0.24839274088541666
3e-06,661.1431901041667,0.24836906750996907
1e-05,576.0911067708333,0.24836305300394693
3e-05,472.4792252604167,0.24848236719767253
0.0001,338.1159765625,0.24942915598551432
0.0003,222.94185872395835,0.2521402359008789
0.001,122.4925732421875,0.2591440677642822
0.003,67.32628580729167,0.27598949750264484
0.01,33.73515055338542,0.32200748443603516
